id,target
649,0.99331397
81136,0.9854467
70762,0.8768563
53935,0.97367305
15476,0.9667181
64797,0.9866501
67412,0.81481314
44241,0.801513
5069,0.99149114
16615,0.99353904
84281,0.98891604
82623,0.9698392
86475,0.59393764
68263,0.955124
113135,0.94959295
45532,0.96349084
102161,0.99460864
84789,0.69204986
62398,0.97654325
70148,0.98550665
102487,0.9266177
100513,0.91332144
92702,0.890234
25051,0.6658122
92920,0.99078417
25520,0.95847374
81869,0.9616767
75402,0.988223
34053,0.64011145
21191,0.9890125
10864,0.98486406
6349,0.97558177
85213,0.9861093
17255,0.967772
108351,0.80555063
51437,0.97912097
88629,0.8466451
85367,0.99114436
12313,0.9517741
71659,0.97530854
35142,0.9894303
62988,0.98754555
8793,0.92663133
11433,0.99107283
30586,0.99089456
53012,0.9848416
87924,0.9858665
106177,0.97868514
63058,0.95551133
99537,0.97074157
35336,0.897194
78691,0.95252407
16161,0.9811235
94318,0.9738341
96583,0.9919993
104560,0.9515501
19638,0.99327725
26080,0.9768215
113482,0.9898168
82175,0.98022825
1239,0.9729856
32521,0.6283862
68529,0.99231863
38882,0.3223293
8299,0.988069
98521,0.9611402
47257,0.94348055
42445,0.97654986
104700,0.77699274
109204,0.98909867
20138,0.51737976
28468,0.98862886
94964,0.85641646
59773,0.88463706
17261,0.98926675
9570,0.8656156
55159,0.71143824
82480,0.9792964
51225,0.62815684
53176,0.7963305
82883,0.9816471
63590,0.990033
50906,0.71636087
21635,0.8274116
84000,0.90934294
79029,0.9924178
60256,0.9906715
110660,0.8850806
51023,0.98118526
99146,0.94799495
93878,0.9856771
93845,0.98154277
5364,0.21660785
106612,0.964513
79928,0.9896672
94761,0.97270197
7126,0.98047465
82176,0.96066487
53475,0.5488918
88108,0.9952366
65166,0.97763026
65378,0.96763635
47119,0.9607863
64338,0.98920715
48872,0.90643775
26061,0.9937382
78191,0.99002737
108224,0.9894426
47646,0.8722368
63423,0.9858511
109453,0.954195
43299,0.99264705
86879,0.95851696
51882,0.98571837
84497,0.42301384
19699,0.9324199
52164,0.9524121
36055,0.945428
17844,0.9833951
12006,0.9852572
51731,0.99355185
101823,0.9498738
70611,0.9839776
57291,0.68868756
3315,0.92472553
6841,0.943796
95636,0.77827066
89508,0.9926554
78357,0.95168126
30363,0.9930479
65880,0.97026795
79166,0.93571997
16883,0.90261
19400,0.99023813
97846,0.9824867
35938,0.95132095
109739,0.9787515
7542,0.9049823
62506,0.9910908
106686,0.9709147
22500,0.98533183
73566,0.9584731
34462,0.9946385
109,0.9800076
82344,0.9848756
70324,0.9869163
47235,0.9921778
78355,0.9681986
97012,0.9414229
103271,0.9927538
54640,0.9853184
18452,0.9319163
80733,0.851543
22069,0.9585331
63586,0.9869801
63069,0.985239
66451,0.9700291
5163,0.99435884
6542,0.99205095
79333,0.9882409
8752,0.98879576
37396,0.99191976
27502,0.927894
65597,0.98044777
50178,0.9826393
51709,0.8974431
32294,0.9746552
76360,0.9884644
51635,0.9929577
103391,0.29385003
59747,0.6769778
21498,0.96656346
18771,0.9842749
34501,0.94316524
77807,0.9433628
26350,0.8977054
105355,0.94466144
5469,0.99087113
23826,0.57102424
9399,0.98596084
44862,0.95046496
104114,0.98821974
20407,0.9463957
7541,0.9942392
72892,0.96447086
81994,0.9860968
111007,0.98866165
83350,0.99062425
55682,0.9731103
26680,0.98908406
109949,0.9735117
12482,0.9855642
108210,0.9905427
35717,0.9918087
74030,0.96441513
18407,0.8836281
113337,0.9038372
81673,0.9718812
80808,0.9938501
87300,0.9866702
113610,0.9923159
68221,0.985683
32307,0.98829556
53974,0.9797085
80255,0.9294386
37547,0.9611819
62782,0.98839414
60206,0.98770684
109533,0.99233127
31952,0.5847283
31266,0.96804786
49517,0.9572931
52843,0.94852453
107949,0.9489193
50424,0.9005136
28080,0.9893611
63289,0.84181154
59792,0.92134416
8600,0.98961264
30415,0.9859163
92033,0.9757656
51339,0.9555045
104556,0.9928538
67550,0.9880433
71744,0.90753996
49589,0.9672834
17018,0.93269503
34936,0.7843716
110058,0.9948716
67668,0.9791398
75859,0.9898615
38878,0.96555096
107894,0.9886126
